Column1,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020
74101,16,37013,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,253850,255110,256685,258199,259627,260725,261865,262999,264712
74242,24,37211,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,268705,269829,271358,273335,275236,276925,278774,280774,283235
74252,988,37221,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,318986,320464,322454,324433,326460,328274,330013,331939,334253
74240,1068,37209,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,329391,331443,334101,336977,339390,341524,343794,346644,349577
74157,1171,37076,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,261847,263309,265424,267640,269802,271570,273363,275333,277893
74178,1362,37115,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,222204,223551,225183,227082,228966,230661,232686,234713,237321
74238,1951,37207,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,249587,251557,253877,256443,258924,260744,263126,266026,270200
74245,2218,37214,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,249946,251103,252666,254539,256454,258234,260054,262247,264934
74234,2471,37203,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,367053,369080,372036,374885,376803,378098,379715,381909,384315
74248,2645,37217,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,232110,233312,234926,236450,238084,239332,240701,242042,243999
74237,2712,37206,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,346870,348630,350871,354077,357333,360601,364058,367304,370677
74153,3129,37072,Zip,TN,TN,Goodlettsville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,262798,263637,264884,266388,268515,270692,272949,275167,278127
74236,3587,37205,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,517681,520930,524968,529582,533090,536224,539277,543480,548586
74246,3968,37215,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,594751,598317,603077,608063,612453,616357,621032,626461,632981
74239,4715,37208,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,307068,308783,311224,313928,315508,317178,318715,320831,322342
74195,5055,37138,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,265407,266596,268150,269974,271660,272669,273892,275414,277681
74247,5747,37216,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,314284,315822,317694,320824,324359,327726,331274,334857,338892
74243,6408,37212,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,368587,370013,372113,374117,376563,378712,381783,385009,388452
74241,6559,37210,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,259369,261420,263875,266965,269793,272779,276229,279905,283412
74235,6866,37204,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,548590,550920,554718,558623,563129,566742,571508,576806,582655
74249,8344,37218,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,221834,224373,227064,229667,231237,232744,234323,235970,237923
74161,11141,37080,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,232807,233691,234860,235448,236267,237101,238054,239391,241414
74251,11990,37220,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,502083,505889,510401,515067,519804,524819,530748,537383,543876
74250,13873,37219,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,335702,337773,340655,343786,345660,347060,349377,352653,354479
74229,14817,37189,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,250320,252274,254615,256867,259337,261235,263779,266593,270388
74232,17834,37201,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,325463,327449,330013,332493,334787,336389,337887,339123,339555
